Gmt time,Open,High,Low,Close,Volume
05.03.2021 14:00:00.000,10.18884,10.20284,10.16042,10.19871,12562.6699
05.03.2021 15:00:00.000,10.19871,10.22098,10.17825,10.21084,17630.5996
05.03.2021 16:00:00.000,10.21124,10.22356,10.19181,10.19868,13349.9697
05.03.2021 17:00:00.000,10.19868,10.20325,10.17008,10.17916,9253.5
05.03.2021 18:00:00.000,10.17916,10.18734,10.16638,10.17506,8284.04
05.03.2021 19:00:00.000,10.17482,10.18593,10.16648,10.16838,7839.8501
05.03.2021 20:00:00.000,10.16841,10.18496,10.16754,10.17311,5729.9199
05.03.2021 21:00:00.000,10.17316,10.19159,10.16966,10.17597,15407.04
07.03.2021 22:00:00.000,10.15964,10.17435,10.15946,10.17435,82.22
07.03.2021 23:00:00.000,10.17435,10.20321,10.15044,10.16404,8082.4102
08.03.2021 00:00:00.000,10.16394,10.17300,10.15805,10.16236,8839.9404
08.03.2021 01:00:00.000,10.16264,10.16637,10.16205,10.16260,4122.3301
08.03.2021 02:00:00.000,10.16266,10.16883,10.16183,10.16478,7599.98
08.03.2021 03:00:00.000,10.16477,10.17104,10.16304,10.16941,10985.04
08.03.2021 04:00:00.000,10.16946,10.17305,10.16809,10.16930,5983.1802
08.03.2021 05:00:00.000,10.16937,10.16964,10.16187,10.16215,3125.8101
08.03.2021 06:00:00.000,10.16191,10.16333,10.15806,10.16124,4004.26
08.03.2021 07:00:00.000,10.16073,10.18445,10.15974,10.17847,7241.52
08.03.2021 08:00:00.000,10.17842,10.19930,10.17158,10.18047,9584.5
08.03.2021 09:00:00.000,10.18034,10.21612,10.17905,10.18892,8766.9102
08.03.2021 10:00:00.000,10.18892,10.20479,10.17248,10.17830,5387.6099
